combination,accuracy
"('Month', 'Weekday', 'link_count', 'title_bit_count', 'author')","[0.5374573592652072, 0.0042056583117702]"
"('Month', 'Weekday', 'title_bit_count')","[0.5374396765066627, 0.005426856944986998]"
"('Month', 'Weekday', 'title_bit_count', 'author', 'channel')","[0.5373768321297105, 0.0050862973197449875]"
"('Month', 'Year', 'Day', 'Hour', 'img_count', 'channel')","[0.5373666701859241, 0.007078290221053144]"
"('Month', 'Weekday', 'Day', 'Hour', 'img_count', 'link_count')","[0.5373651212386913, 0.003818387916724463]"
"('Month', 'Weekday', 'Day', 'link_count', 'title_word_count', 'author')","[0.5373300305491145, 0.00704638964903299]"
"('Month', 'Weekday', 'Year', 'Hour', 'channel')","[0.537328053720419, 0.005266993970071673]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_bit_count')","[0.5372991929405191, 0.006212443011129416]"
"('Month', 'Year', 'img_count', 'author')","[0.5372718180042007, 0.005495346569210138]"
"('Month', 'Day', 'Hour', 'img_count', 'link_count', 'author')","[0.537194247599085, 0.005796601449593681]"
"('Weekday', 'Year', 'img_count', 'channel')","[0.5371869112255953, 0.0054986150804547775]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'content_len')","[0.5370991049867689, 0.006730286911814534]"
"('Month', 'Weekday', 'Day', 'img_count', 'content_len')","[0.5370737464149093, 0.0062744220546307825]"
"('Weekday', 'title_word_count', 'channel')","[0.5370504473828168, 0.009505671976070374]"
"('Month', 'Weekday', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5370461382141151, 0.004026028157481231]"
"('Month', 'Year', 'Day', 'Hour', 'content_len', 'author')","[0.537044762815789, 0.009223648932214975]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'author', 'channel')","[0.5370411220994005, 0.007174521128707334]"
"('Month', 'img_count', 'content_len', 'author', 'channel')","[0.537012596109893, 0.005169588359162921]"
"('Month', 'Weekday', 'Year', 'title_word_count', 'author', 'channel')","[0.5369980152171734, 0.008822800852773545]"
"('Month', 'Weekday', 'Day', 'img_count', 'content_len', 'channel')","[0.5369345977344155, 0.007307136746292601]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_word_count', 'author')","[0.5369173272617533, 0.007154751529736187]"
"('Month', 'Weekday', 'Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.5369119319736104, 0.0041110567570246835]"
"('Month', 'Year', 'Day', 'content_len', 'link_count', 'author')","[0.5369091644992549, 0.0070146808177037065]"
"('Weekday', 'author')","[0.5368590000087827, 0.009145802606221092]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_bit_count', 'channel')","[0.5368215054737098, 0.0070897897699715735]"
"('Weekday', 'Year', 'img_count', 'author')","[0.5368022047740191, 0.004456036423139908]"
"('Month', 'Day', 'img_count', 'content_len', 'link_count', 'author')","[0.536781935647846, 0.005156212592794215]"
"('Month', 'Year', 'Day', 'Hour', 'content_len', 'channel')","[0.5367793360474893, 0.007176073071395398]"
"('Weekday', 'Hour', 'img_count', 'content_len', 'author')","[0.5367748812977287, 0.006156266836235402]"
"('Month', 'Year', 'Day', 'content_len', 'author', 'channel')","[0.5367633834152452, 0.004846711152369749]"
"('Month', 'Weekday', 'Year', 'img_count', 'link_count', 'channel')","[0.5367133889680267, 0.00527121731446604]"
"('Month', 'Weekday', 'img_count', 'link_count', 'author')","[0.5367113295401305, 0.009233888831781339]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_word_count')","[0.5366934340193302, 0.0043681968062946296]"
"('Month', 'Weekday', 'Year', 'Day', 'title_word_count', 'author')","[0.5366092447029234, 0.006179410794394803]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len', 'channel')","[0.5366038701415781, 0.006625002159076795]"
"('Month', 'Day', 'Hour', 'link_count', 'author', 'channel')","[0.5365671002028735, 0.007178622599792997]"
"('Month', 'Day', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5365411487978633, 0.007353355818210614]"
"('Month', 'Year', 'Day', 'content_len', 'author')","[0.5365169864911582, 0.008397569567355434]"
"('Month', 'Year', 'Day', 'link_count', 'author', 'channel')","[0.5364673030707113, 0.004994888712180153]"
"('Month', 'Year', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.5364105092418775, 0.006010398893612445]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5363779438113699, 0.00909287978900259]"
"('Month', 'Day', 'Hour', 'link_count', 'author')","[0.5363711779645872, 0.005133823890790012]"
"('Month', 'Weekday', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5363590059789182, 0.004471198099450675]"
"('Month', 'Weekday', 'img_count', 'author', 'channel')","[0.5363330716226373, 0.004021414067395665]"
"('Month', 'Day', 'img_count', 'link_count', 'author')","[0.536321457159209, 0.004610036832174458]"
"('Month', 'Year', 'Day', 'Hour', 'link_count', 'channel')","[0.5363039997545039, 0.005857205078126438]"
"('Month', 'Weekday', 'Day', 'img_count', 'link_count', 'title_word_count')","[0.5362898939543144, 0.007087392930072586]"
"('Month', 'Year', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5362697543270563, 0.004023903233413184]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_word_count')","[0.5362108351732701, 0.008577189811155033]"
"('Month', 'Weekday', 'Day', 'img_count')","[0.5362017618120369, 0.004805032944420696]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len', 'title_word_count')","[0.5361624564336993, 0.0020836452467002894]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5361224554597154, 0.006776156921490518]"
"('Month', 'Year', 'Day', 'img_count', 'author', 'channel')","[0.5361007959001507, 0.005485868024261391]"
"('Month', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5360811008796598, 0.006357037696561846]"
"('Month', 'Day', 'content_len', 'title_bit_count', 'author')","[0.5360756509473436, 0.009323799011127534]"
"('Month', 'Year', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5360611646512793, 0.0056790159327640135]"
"('Month', 'Year', 'Day', 'link_count', 'title_word_count', 'author')","[0.5360207431930166, 0.006468663104033647]"
"('Month', 'Weekday', 'Hour', 'content_len', 'link_count')","[0.5360001780663342, 0.006823859650436856]"
"('Weekday', 'img_count', 'channel')","[0.5359635873728636, 0.006889208944131251]"
"('Month', 'Year', 'content_len', 'title_bit_count', 'author')","[0.5359609021981273, 0.0034954478311539604]"
"('Month', 'Weekday', 'author', 'channel')","[0.5359502481042145, 0.008238187607166115]"
"('Month', 'Weekday', 'Hour', 'author')","[0.5359221715356098, 0.006427115556833773]"
"('Month', 'Year', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5359083963462039, 0.005958761235988682]"
"('Month', 'Weekday', 'Year', 'Day', 'title_word_count')","[0.5358843688155096, 0.0072366583802940835]"
"('Month', 'Weekday', 'Day', 'img_count', 'channel')","[0.535767040585849, 0.007087987084208825]"
"('Weekday', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5357130456103049, 0.010373863726508167]"
"('Month', 'Year', 'content_len', 'link_count', 'author', 'channel')","[0.5356877137493358, 0.0060632796641736835]"
"('Month', 'Weekday', 'img_count', 'content_len', 'link_count', 'channel')","[0.5356719505099157, 0.004480323787784973]"
"('Month', 'Year', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.5356267592831261, 0.006985964162212033]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_word_count', 'channel')","[0.5356173555431992, 0.008464066909490281]"
"('Weekday', 'Year', 'Day', 'content_len', 'author')","[0.5356047252155062, 0.011979949528213907]"
"('Month', 'Weekday', 'link_count', 'title_bit_count', 'channel')","[0.5355916237919996, 0.0037202994293522363]"
"('Month', 'Day', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5355507614771543, 0.004616210930513773]"
"('Month', 'Year', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5354968547134649, 0.006527266693131943]"
"('Month', 'Weekday', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5354640993541747, 0.00837897301990894]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5354023530651455, 0.005212574986092252]"
"('Month', 'Year', 'Day', 'img_count', 'author')","[0.53531928155177, 0.008998555235453393]"
"('Month', 'Year', 'Day', 'img_count', 'title_bit_count', 'author')","[0.5353129998407266, 0.0068389644591213185]"
"('author', 'channel')","[0.5353049338330441, 0.007482327169812382]"
"('Month', 'Year', 'Day', 'Hour', 'img_count', 'content_len')","[0.5352979323329956, 0.008433336658049746]"
"('Month', 'Year', 'img_count', 'link_count', 'title_bit_count', 'author')","[0.5352878762624474, 0.005682950228644442]"
"('Month', 'Weekday', 'Hour', 'img_count')","[0.5352796002737985, 0.003017462217452368]"
"('Month', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.535271058044432, 0.007143824205124151]"
"('Month', 'Weekday', 'Day', 'Hour', 'link_count', 'channel')","[0.5352393932913356, 0.008130789889987177]"
"('Month', 'Weekday', 'title_bit_count', 'author')","[0.5352236662162156, 0.004402682122659003]"
"('Month', 'link_count', 'title_word_count', 'author', 'channel')","[0.5351980164722167, 0.0022856491406059356]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.535157032216755, 0.007824297874128312]"
"('Weekday', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5351550355944067, 0.00484500493898861]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.535152212909763, 0.006883301846175032]"
"('Month', 'Year', 'link_count', 'author', 'channel')","[0.5351489911442285, 0.008384515493026358]"
"('Month', 'Weekday', 'content_len', 'title_bit_count', 'channel')","[0.5351478143572798, 0.004887226655287903]"
"('Month', 'Year', 'Day', 'author')","[0.5351427197638795, 0.008229131095685656]"
"('Month', 'Weekday', 'img_count', 'content_len', 'link_count')","[0.5351188192241052, 0.007025020274650282]"
"('Year', 'author')","[0.5350480353654641, 0.009360191565624325]"
"('Month', 'content_len', 'link_count', 'author')","[0.5350455019796504, 0.010071547065520176]"
"('Month', 'Year', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5349964664376617, 0.006217758241186381]"
"('Month', 'Year', 'Day', 'Hour', 'content_len', 'title_bit_count')","[0.5349903740068039, 0.007255877417194248]"
"('Month', 'Weekday', 'content_len', 'channel')","[0.5349800669862205, 0.007598725252708451]"
"('Month', 'Weekday', 'Hour', 'title_word_count', 'author')","[0.5349698312373861, 0.00785952582019997]"
"('Month', 'Weekday', 'Day', 'content_len', 'link_count', 'channel')","[0.5349512172904759, 0.006653860774457621]"
"('Month', 'Day', 'channel')","[0.5349447920828718, 0.004506794441842283]"
"('Month', 'content_len', 'title_bit_count', 'author')","[0.5349339007782384, 0.009161099365487814]"
"('Weekday', 'Day', 'Hour', 'title_bit_count', 'author')","[0.5348946570921239, 0.012355837252628177]"
"('Month', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5348793463809508, 0.005813576888814091]"
"('Month', 'Year', 'Day', 'Hour', 'title_bit_count', 'author')","[0.5348790003240002, 0.004393616811784104]"
"('Month', 'Weekday', 'Year', 'Hour', 'link_count')","[0.5348709787943433, 0.006797186388091417]"
"('Month', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5348301379906277, 0.008792348485485657]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5347509523692328, 0.008180317061970307]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5346981957573568, 0.004973501474789795]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_bit_count')","[0.5346852554960421, 0.002432464365899317]"
"('Weekday', 'img_count', 'author')","[0.534663485586813, 0.004380858135633899]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5346617383475853, 0.0028938714012942224]"
"('Month', 'Day', 'img_count', 'content_len', 'title_word_count', 'author')","[0.534618821576451, 0.0031464630410244815]"
"('Month', 'Year', 'content_len', 'author')","[0.5346021394490774, 0.007537981244368591]"
"('Month', 'Weekday', 'author')","[0.5345618969678847, 0.005852205183473528]"
"('Month', 'Weekday', 'content_len', 'link_count', 'channel')","[0.5345502482941471, 0.00534666762636764]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_word_count', 'title_bit_count')","[0.5345497247427334, 0.002595735919935099]"
"('Month', 'Year', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5345464735260881, 0.01388922751483292]"
"('Month', 'Day', 'title_word_count', 'title_bit_count', 'author')","[0.5345448846514442, 0.004114483021909018]"
"('Weekday', 'Day', 'title_bit_count', 'author', 'channel')","[0.5345179054879223, 0.0031637300657660424]"
"('Month', 'Year', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5345176196611189, 0.0021040692222695392]"
"('Month', 'img_count', 'author')","[0.534475662913405, 0.005498204330227206]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_bit_count')","[0.5344752805055057, 0.006825866166861598]"
"('Month', 'Year', 'Day', 'link_count', 'author')","[0.5344656733341553, 0.007956614381993151]"
"('Month', 'Year', 'Day', 'Hour', 'link_count', 'title_bit_count')","[0.5344457070132045, 0.006888826398624302]"
"('Month', 'content_len', 'author')","[0.5344450312055384, 0.009776848450852397]"
"('Month', 'Year', 'Day', 'Hour', 'img_count')","[0.5343994991110377, 0.004364726629783375]"
"('Weekday', 'Day', 'content_len', 'author', 'channel')","[0.5343980888927984, 0.006787538394546819]"
"('Month', 'Weekday', 'img_count', 'link_count', 'title_bit_count')","[0.5343657298622067, 0.005430896913655232]"
"('Month', 'Day', 'Hour', 'author', 'channel')","[0.5343564511133755, 0.00872234786578605]"
"('Weekday', 'Year', 'img_count', 'content_len', 'author')","[0.5343381473256666, 0.005949092553653678]"
"('Month', 'Weekday', 'Year', 'Hour', 'link_count', 'title_word_count')","[0.5343330802760541, 0.0076402528266297665]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len', 'link_count')","[0.534290817490161, 0.006366298006716521]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5342699623701224, 0.011858451339622551]"
"('Weekday', 'content_len', 'link_count', 'author', 'channel')","[0.5342594505306096, 0.0047758610692506835]"
"('Month', 'Weekday', 'Hour', 'img_count', 'channel')","[0.5342400548357509, 0.003141091322431049]"
"('Month', 'Year', 'Day', 'Hour', 'author', 'channel')","[0.5342166081496261, 0.01072285529764078]"
"('Month', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5342100866857539, 0.0020677578052966466]"
"('Month', 'Weekday', 'Day', 'img_count', 'content_len', 'title_word_count')","[0.5341817083204802, 0.006262391673512017]"
"('Month', 'Day', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.534167831446086, 0.00755606928574601]"
"('Month', 'Hour', 'link_count', 'author', 'channel')","[0.5341673726395293, 0.0072859042037774074]"
"('Month', 'Year', 'Hour', 'content_len', 'author')","[0.5341594190928692, 0.009258235103848416]"
"('Weekday', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5341481404884569, 0.004987961639949852]"
"('Month', 'title_bit_count')","[0.5341471297751103, 0.005664283571026341]"
"('Month', 'Year', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.5341212992553862, 0.005388039949830741]"
"('Month', 'Year', 'Day', 'Hour', 'author')","[0.534117679303538, 0.006904605557859989]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_word_count', 'channel')","[0.5341071175542379, 0.00410862323319452]"
"('Month', 'Weekday', 'Day', 'author')","[0.5340889132235886, 0.008343023552500507]"
"('Month', 'Weekday', 'link_count', 'title_word_count', 'author')","[0.5340419482822922, 0.009863133263951517]"
"('Month', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5340408469100072, 0.008847693200379416]"
"('Month', 'Day', 'link_count', 'author')","[0.5340283401776191, 0.007403439045462565]"
"('Month', 'Day', 'img_count', 'content_len', 'author')","[0.5340217973335855, 0.007039753065388282]"
"('Month', 'Weekday', 'Year', 'img_count', 'channel')","[0.5340162689668795, 0.006288623735651067]"
"('Month', 'img_count', 'link_count', 'title_bit_count', 'author')","[0.5340123639613237, 0.003882781668299235]"
"('Month', 'Weekday', 'Year', 'Day', 'title_word_count', 'title_bit_count')","[0.5340076203576322, 0.00834367559874651]"
"('Month', 'Year', 'Hour', 'img_count', 'link_count', 'channel')","[0.533978535410856, 0.006297411159029169]"
"('Month', 'Year', 'link_count', 'title_word_count', 'author', 'channel')","[0.5339610332618643, 0.003883143909497168]"
"('Month', 'Weekday', 'Day', 'title_word_count')","[0.5339428922410848, 0.006390702128993497]"
"('Month', 'Weekday', 'Year', 'content_len', 'channel')","[0.5339161602938595, 0.012706920217926725]"
"('Month', 'Weekday', 'Year', 'title_bit_count', 'channel')","[0.5339157049794834, 0.006377768494555374]"
"('Month', 'Weekday', 'Day', 'content_len', 'link_count', 'title_bit_count')","[0.5339111618517213, 0.0024187800558193163]"
"('Month', 'Weekday', 'Day', 'img_count', 'content_len', 'link_count')","[0.5338251376533238, 0.006307231294057133]"
